                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.8924,                 1.0402,                 1.1792,                0.79779,                0.74393,                0.78264,                0.32114,                 2.1149,                0.96883,                 1.2967,               0.007327,               0.007327,               0.007327
                    137,                  1.889,                 1.0416,                 1.1881,                0.79638,                0.76841,                0.80589,                0.32649,                 2.1259,                0.97385,                 1.3065,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.8867,                 1.0383,                 1.1712,                0.80259,                0.77184,                  0.812,                0.33402,                 2.1109,                0.97953,                 1.2948,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.8863,                 1.0332,                 1.1804,                0.83396,                 0.7638,                0.81272,                 0.3298,                 2.1234,                0.96182,                 1.2997,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.8888,                 1.0387,                 1.1852,                0.83575,                0.76378,                0.81673,                0.33471,                  2.127,                0.97936,                 1.2931,              0.0072478,              0.0072478,              0.0072478
                    141,                  1.881,                 1.0291,                 1.1801,                0.79569,                0.79093,                0.81915,                0.32586,                 2.1273,                0.97406,                 1.3041,               0.007228,               0.007228,               0.007228
                    142,                 1.8746,                 1.0318,                 1.1772,                0.82555,                0.78348,                0.82572,                0.33166,                 2.1258,                0.96122,                 1.2984,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.8726,                 1.0266,                 1.1777,                0.82473,                0.78366,                0.82128,                0.33631,                 2.1253,                0.96756,                 1.2872,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.8694,                 1.0205,                 1.1733,                0.83845,                0.80201,                0.82868,                0.33415,                 2.1381,                0.94835,                 1.3028,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.8769,                 1.0319,                 1.1701,                0.84338,                0.78808,                0.82047,                0.33388,                  2.116,                0.94266,                 1.2872,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.8747,                 1.0271,                 1.1716,                0.85796,                0.77339,                0.82799,                0.33768,                 2.0927,                  0.961,                 1.2868,               0.007129,               0.007129,               0.007129
                    147,                 1.8765,                 1.0243,                 1.1678,                0.84121,                0.77925,                0.82909,                0.33577,                 2.1101,                0.92307,                 1.2975,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.8701,                  1.024,                 1.1751,                0.82629,                0.78366,                0.81644,                0.33442,                 2.1144,                0.94326,                  1.295,              0.0070894,              0.0070894,              0.0070894
